Location,Area_sqft,Bedrooms,Bathrooms,Floors,Material_Quality,Interior_Type,Parking,Balcony,Garden,Material_Cost,Labour_Cost,Finishing_Cost,Total_Cost
Padmanabham,800,1,2,1,Standard,Luxury,No,No,No,1023000,465000,372000,1860000
Anandapuram,1800,3,3,2,Standard,Modern,No,No,Yes,2420000,1100000,880000,4400000
MVP Colony,2500,2,4,1,Basic,Modern,No,Yes,Yes,2805000,1275000,1020000,5100000
Madhurawada,1200,4,3,2,Premium,Modern,Yes,Yes,Yes,2599300,1181500,945200,4726000
Bheemili,2000,2,2,1,Basic,Normal,Yes,No,No,1870000,850000,680000,3400000
Atchutapuram,2500,2,1,2,Standard,Modern,No,Yes,Yes,2915000,1325000,1060000,5300000
Anandapuram,1500,1,4,1,Premium,Normal,No,No,Yes,2282500,1037500,830000,4150000
Gajuwaka,1000,4,3,1,Basic,Normal,No,No,No,968000,440000,352000,1760000
Tagarapuvalasa,2500,2,4,2,Premium,Luxury,Yes,No,Yes,4241875,1928125,1542500,7712500
Madhurawada,1500,3,1,1,Premium,Normal,Yes,No,No,2671625,1214375,971500,4857500
MVP Colony,1000,1,3,1,Standard,Modern,No,Yes,Yes,1485000,675000,540000,2700000
Parawada,1200,2,1,1,Premium,Modern,No,Yes,Yes,1768800,804000,643200,3216000
Tagarapuvalasa,1200,3,1,1,Basic,Luxury,No,No,Yes,1333200,606000,484800,2424000
Seethammadhara,1800,2,1,1,Basic,Modern,Yes,Yes,No,2120800,964000,771200,3856000
Kothavalasa,1200,1,3,2,Basic,Normal,Yes,Yes,No,1335400,607000,485600,2428000
Kommadi,1200,4,2,1,Standard,Normal,No,No,No,1386000,630000,504000,2520000
Rambilli,800,3,1,2,Standard,Normal,No,No,No,1023000,465000,372000,1860000
Atchutapuram,2000,2,1,1,Basic,Normal,Yes,Yes,Yes,1749000,795000,636000,3180000
Kommadi,1800,2,3,1,Standard,Luxury,Yes,Yes,Yes,2519000,1145000,916000,4580000
Tagarapuvalasa,1000,1,1,1,Premium,Luxury,Yes,Yes,Yes,1850750,841250,673000,3365000
Atchutapuram,2500,4,1,2,Premium,Luxury,No,No,No,3891250,1768750,1415000,7075000
Madhurawada,1800,3,1,1,Basic,Luxury,No,No,No,2096600,953000,762400,3812000
Padmanabham,2500,1,3,1,Premium,Modern,No,Yes,No,3265625,1484375,1187500,5937500
Madhurawada,1500,4,1,2,Basic,Luxury,Yes,Yes,Yes,2233000,1015000,812000,4060000
Madhurawada,2500,4,3,1,Premium,Luxury,No,No,No,4544375,2065625,1652500,8262500
Anandapuram,1800,2,4,1,Basic,Modern,Yes,Yes,Yes,1859000,845000,676000,3380000
Parawada,2000,3,2,1,Premium,Luxury,No,No,No,2948000,1340000,1072000,5360000
Pendurthi,1200,2,3,1,Standard,Modern,Yes,No,Yes,1661000,755000,604000,3020000
Seethammadhara,1000,2,1,1,Premium,Normal,No,No,Yes,1837000,835000,668000,3340000
Pendurthi,1000,2,1,1,Standard,Normal,No,Yes,Yes,1210000,550000,440000,2200000
Tagarapuvalasa,1800,2,4,1,Standard,Luxury,No,Yes,No,2156000,980000,784000,3920000
Pendurthi,1000,1,3,1,Standard,Normal,Yes,No,No,1265000,575000,460000,2300000
MVP Colony,1500,2,2,1,Basic,Luxury,Yes,Yes,Yes,2024000,920000,736000,3680000
Parawada,1000,3,4,1,Premium,Normal,No,Yes,No,1336500,607500,486000,2430000
Madhurawada,1500,4,3,1,Basic,Luxury,Yes,Yes,Yes,1958000,890000,712000,3560000
Bheemili,1000,1,4,1,Basic,Luxury,Yes,No,No,1265000,575000,460000,2300000
Rambilli,2500,2,2,1,Premium,Normal,No,Yes,Yes,3210625,1459375,1167500,5837500
Rambilli,2500,1,2,2,Basic,Modern,No,Yes,Yes,2310000,1050000,840000,4200000
Bheemili,1800,3,1,1,Standard,Luxury,Yes,Yes,No,2365000,1075000,860000,4300000
Sabbavaram,2500,1,2,2,Premium,Normal,No,Yes,Yes,3671250,1668750,1335000,6675000
Seethammadhara,1000,1,1,1,Standard,Normal,No,Yes,No,1320000,600000,480000,2400000
Seethammadhara,1500,2,4,1,Premium,Normal,No,Yes,Yes,2728000,1240000,992000,4960000
Sabbavaram,1000,3,2,2,Standard,Modern,Yes,Yes,No,1485000,675000,540000,2700000
Bheemili,2000,3,4,2,Standard,Modern,No,Yes,Yes,2640000,1200000,960000,4800000
Padmanabham,1000,2,3,1,Basic,Luxury,Yes,No,Yes,1188000,540000,432000,2160000
Bheemili,2000,1,2,1,Standard,Luxury,No,Yes,Yes,2530000,1150000,920000,4600000
Madhurawada,2000,1,1,1,Standard,Luxury,No,Yes,No,2805000,1275000,1020000,5100000
Anandapuram,1000,1,4,1,Basic,Luxury,No,Yes,No,1155000,525000,420000,2100000
Kothavalasa,2000,4,1,2,Standard,Normal,Yes,No,Yes,2420000,1100000,880000,4400000
Kommadi,1500,4,3,2,Standard,Modern,No,No,Yes,2172500,987500,790000,3950000
Parawada,1500,4,2,1,Premium,Luxury,No,No,Yes,2334750,1061250,849000,4245000
Pendurthi,1500,3,2,1,Standard,Modern,Yes,No,No,1952500,887500,710000,3550000
Kommadi,1800,2,3,2,Basic,Luxury,Yes,Yes,Yes,2378200,1081000,864800,4324000
Tagarapuvalasa,1000,2,1,1,Standard,Normal,No,Yes,Yes,1100000,500000,400000,2000000
MVP Colony,1000,3,4,1,Premium,Luxury,No,No,No,2057000,935000,748000,3740000
Kothavalasa,1200,4,2,1,Basic,Modern,No,No,Yes,1115400,507000,405600,2028000
Pendurthi,800,2,4,1,Basic,Luxury,No,Yes,Yes,1069200,486000,388800,1944000
Atchutapuram,2000,1,2,1,Standard,Normal,No,No,Yes,2035000,925000,740000,3700000
MVP Colony,800,4,2,2,Basic,Modern,No,Yes,No,1229800,559000,447200,2236000
Seethammadhara,1200,2,4,1,Basic,Luxury,Yes,No,Yes,1707200,776000,620800,3104000
Kothavalasa,800,3,4,1,Premium,Normal,No,No,Yes,1124200,511000,408800,2044000
MVP Colony,1200,1,2,1,Standard,Modern,Yes,Yes,No,1804000,820000,656000,3280000
Padmanabham,2500,3,4,1,Standard,Normal,Yes,No,No,2447500,1112500,890000,4450000
Rambilli,1800,4,4,1,Basic,Modern,No,Yes,Yes,1511400,687000,549600,2748000
Padmanabham,1500,4,2,2,Basic,Luxury,No,No,No,1672000,760000,608000,3040000
Madhurawada,1000,3,3,1,Premium,Normal,Yes,No,No,1817750,826250,661000,3305000
Rambilli,1000,4,4,1,Standard,Modern,No,No,Yes,1100000,500000,400000,2000000
Anandapuram,2500,1,4,1,Standard,Luxury,Yes,No,No,3135000,1425000,1140000,5700000
Atchutapuram,1200,3,1,1,Standard,Luxury,No,Yes,No,1463000,665000,532000,2660000
Gajuwaka,2500,2,1,1,Basic,Luxury,Yes,No,Yes,2860000,1300000,1040000,5200000
Madhurawada,1000,4,4,1,Basic,Normal,No,No,Yes,1067000,485000,388000,1940000
Parawada,1500,2,3,1,Basic,Modern,No,No,Yes,1353000,615000,492000,2460000
Seethammadhara,2000,2,1,1,Basic,Modern,Yes,Yes,Yes,2387000,1085000,868000,4340000
Pendurthi,1200,2,2,2,Basic,Luxury,Yes,Yes,Yes,1823800,829000,663200,3316000
Seethammadhara,1200,4,3,1,Standard,Modern,No,No,Yes,1749000,795000,636000,3180000
Tagarapuvalasa,1800,2,3,1,Basic,Normal,Yes,Yes,Yes,1669800,759000,607200,3036000
Anandapuram,1800,3,1,1,Standard,Modern,Yes,No,No,2200000,1000000,800000,4000000
Padmanabham,1200,3,4,1,Basic,Modern,Yes,Yes,Yes,1172600,533000,426400,2132000
Atchutapuram,800,1,4,2,Basic,Luxury,No,No,No,1183600,538000,430400,2152000
Pendurthi,2500,2,1,1,Premium,Normal,No,No,No,3898125,1771875,1417500,7087500
Kommadi,1800,1,2,1,Premium,Luxury,Yes,No,No,3191650,1450750,1160600,5803000
Atchutapuram,1500,3,3,1,Standard,Luxury,Yes,Yes,No,1870000,850000,680000,3400000
Kothavalasa,2500,2,2,1,Standard,Modern,Yes,No,No,2695000,1225000,980000,4900000
Seethammadhara,800,1,1,2,Standard,Modern,Yes,Yes,No,1551000,705000,564000,2820000
Sabbavaram,800,2,4,1,Basic,Luxury,No,Yes,Yes,963600,438000,350400,1752000
Sabbavaram,1200,2,2,1,Premium,Normal,No,No,Yes,1658800,754000,603200,3016000
MVP Colony,1000,2,1,2,Basic,Normal,Yes,Yes,No,1441000,655000,524000,2620000
Tagarapuvalasa,800,1,1,1,Premium,Normal,No,No,Yes,1183600,538000,430400,2152000
Sabbavaram,1000,3,3,1,Premium,Luxury,Yes,No,No,1721500,782500,626000,3130000
Tagarapuvalasa,1200,4,2,1,Premium,Luxury,No,Yes,Yes,2022900,919500,735600,3678000
Atchutapuram,2500,4,3,1,Basic,Normal,Yes,Yes,No,2090000,950000,760000,3800000
Kommadi,1000,3,1,1,Standard,Luxury,Yes,Yes,No,1540000,700000,560000,2800000
Seethammadhara,2000,2,1,1,Basic,Normal,Yes,No,No,2222000,1010000,808000,4040000
Atchutapuram,1200,3,1,1,Premium,Normal,Yes,No,No,1713800,779000,623200,3116000
Kommadi,2000,3,4,1,Standard,Normal,No,Yes,No,2310000,1050000,840000,4200000
Atchutapuram,1000,1,3,1,Standard,Modern,Yes,No,No,1210000,550000,440000,2200000
Rambilli,2500,3,4,1,Premium,Normal,No,Yes,Yes,3210625,1459375,1167500,5837500
MVP Colony,1000,2,4,1,Premium,Normal,Yes,No,Yes,1947000,885000,708000,3540000
Anandapuram,2500,2,1,1,Premium,Modern,No,No,No,3822500,1737500,1390000,6950000
Madhurawada,1000,4,2,2,Standard,Modern,No,No,No,1650000,750000,600000,3000000
Atchutapuram,2000,2,1,1,Basic,Modern,Yes,Yes,Yes,1859000,845000,676000,3380000
Gajuwaka,1800,4,2,1,Standard,Normal,Yes,No,No,2288000,1040000,832000,4160000
Rambilli,1800,1,1,2,Premium,Modern,Yes,Yes,No,2767050,1257750,1006200,5031000
Atchutapuram,1800,1,4,1,Basic,Luxury,Yes,No,Yes,1865600,848000,678400,3392000
Kothavalasa,1200,3,4,1,Basic,Normal,Yes,No,No,1060400,482000,385600,1928000
Kommadi,1000,3,3,2,Premium,Normal,No,No,Yes,1889250,858750,687000,3435000
Kothavalasa,1500,1,3,1,Basic,Luxury,No,Yes,Yes,1518000,690000,552000,2760000
Kommadi,1500,3,3,1,Standard,Modern,Yes,Yes,Yes,2007500,912500,730000,3650000
MVP Colony,1500,1,1,2,Basic,Normal,Yes,Yes,No,1969000,895000,716000,3580000
Kothavalasa,1200,1,3,2,Premium,Luxury,Yes,No,Yes,2318800,1054000,843200,4216000
Gajuwaka,800,1,4,1,Standard,Modern,Yes,Yes,Yes,1243000,565000,452000,2260000
Madhurawada,2500,3,1,1,Premium,Normal,No,Yes,Yes,4324375,1965625,1572500,7862500
Parawada,800,2,1,1,Standard,Modern,Yes,No,No,1012000,460000,368000,1840000
Rambilli,2500,4,4,1,Basic,Modern,Yes,Yes,Yes,2145000,975000,780000,3900000
Kothavalasa,2000,1,4,1,Basic,Modern,Yes,No,No,1804000,820000,656000,3280000
Atchutapuram,1000,1,2,2,Basic,Normal,Yes,Yes,No,1177000,535000,428000,2140000
Kothavalasa,1000,4,2,2,Basic,Normal,Yes,No,No,1177000,535000,428000,2140000
Kothavalasa,2000,2,4,1,Standard,Normal,Yes,No,No,2090000,950000,760000,3800000
MVP Colony,2000,2,4,1,Premium,Normal,No,Yes,Yes,3619000,1645000,1316000,6580000
Rambilli,2500,1,4,1,Basic,Luxury,Yes,No,No,2255000,1025000,820000,4100000
Parawada,1200,2,1,2,Basic,Luxury,No,No,No,1500400,682000,545600,2728000
Padmanabham,1000,3,1,2,Standard,Normal,No,No,No,1210000,550000,440000,2200000
Gajuwaka,1800,3,2,1,Basic,Modern,No,Yes,No,1852400,842000,673600,3368000
Kothavalasa,2500,2,2,2,Premium,Modern,Yes,No,No,3836250,1743750,1395000,6975000
Pendurthi,1200,3,1,1,Basic,Luxury,No,Yes,No,1383800,629000,503200,2516000
Gajuwaka,1200,2,2,1,Basic,Modern,Yes,Yes,Yes,1436600,653000,522400,2612000
Pendurthi,2000,2,3,1,Standard,Luxury,Yes,Yes,No,2695000,1225000,980000,4900000
Sabbavaram,2000,1,2,1,Premium,Luxury,No,No,Yes,3003000,1365000,1092000,5460000
Gajuwaka,1200,1,2,2,Standard,Modern,No,Yes,Yes,1892000,860000,688000,3440000
Rambilli,2500,2,4,1,Premium,Luxury,Yes,Yes,No,3540625,1609375,1287500,6437500
Padmanabham,1200,1,1,1,Basic,Normal,Yes,No,No,1007600,458000,366400,1832000
Rambilli,800,2,2,1,Basic,Modern,Yes,No,No,818400,372000,297600,1488000
Anandapuram,1500,3,4,2,Basic,Modern,Yes,No,No,1815000,825000,660000,3300000
Gajuwaka,1800,2,3,1,Premium,Luxury,Yes,No,Yes,3380300,1536500,1229200,6146000
Madhurawada,2500,1,2,1,Standard,Luxury,No,No,Yes,3492500,1587500,1270000,6350000
Atchutapuram,1200,1,1,2,Basic,Luxury,No,Yes,Yes,1555400,707000,565600,2828000
Madhurawada,800,1,3,1,Premium,Luxury,Yes,No,Yes,1806200,821000,656800,3284000
Pendurthi,1800,2,2,1,Basic,Luxury,Yes,No,Yes,2103200,956000,764800,3824000
Bheemili,2000,1,2,1,Basic,Modern,No,No,Yes,1925000,875000,700000,3500000
MVP Colony,800,1,1,2,Standard,Normal,Yes,No,Yes,1496000,680000,544000,2720000
Bheemili,2500,2,4,1,Basic,Normal,No,No,No,2200000,1000000,800000,4000000
Anandapuram,2500,2,3,1,Basic,Luxury,No,Yes,No,2475000,1125000,900000,4500000
Atchutapuram,1200,4,1,1,Basic,Modern,No,Yes,Yes,1115400,507000,405600,2028000
Pendurthi,1200,3,4,2,Standard,Luxury,Yes,Yes,No,2046000,930000,744000,3720000
Gajuwaka,2000,1,4,1,Premium,Normal,No,Yes,Yes,3322000,1510000,1208000,6040000
Gajuwaka,800,4,3,1,Standard,Normal,No,Yes,Yes,1023000,465000,372000,1860000
Pendurthi,800,1,1,1,Basic,Modern,No,Yes,Yes,904200,411000,328800,1644000
Padmanabham,1000,3,1,1,Premium,Luxury,Yes,Yes,Yes,1702250,773750,619000,3095000
Parawada,2500,1,3,2,Basic,Luxury,No,Yes,No,2530000,1150000,920000,4600000
Bheemili,1500,4,2,1,Standard,Luxury,Yes,No,Yes,2090000,950000,760000,3800000
Gajuwaka,2500,3,3,2,Standard,Normal,No,Yes,No,3300000,1500000,1200000,6000000
Anandapuram,800,3,1,2,Premium,Modern,Yes,Yes,No,1683000,765000,612000,3060000
Madhurawada,1000,3,3,1,Basic,Modern,Yes,No,No,1232000,560000,448000,2240000
Padmanabham,1800,1,4,1,Premium,Normal,Yes,Yes,No,2382050,1082750,866200,4331000
Pendurthi,2500,2,1,1,Basic,Modern,Yes,No,No,2530000,1150000,920000,4600000
Kommadi,1500,4,3,2,Premium,Normal,Yes,Yes,Yes,2778875,1263125,1010500,5052500
Kothavalasa,800,4,1,1,Basic,Modern,No,No,No,743600,338000,270400,1352000
Sabbavaram,2500,4,3,1,Basic,Luxury,No,Yes,No,2255000,1025000,820000,4100000
Bheemili,1500,3,1,1,Premium,Modern,No,Yes,Yes,2392500,1087500,870000,4350000
Kothavalasa,2500,4,1,1,Premium,Normal,Yes,Yes,Yes,3506250,1593750,1275000,6375000
Anandapuram,1000,4,3,1,Basic,Modern,Yes,Yes,No,1100000,500000,400000,2000000
Anandapuram,1000,4,3,1,Standard,Modern,No,No,Yes,1265000,575000,460000,2300000
Madhurawada,2500,3,3,1,Basic,Luxury,No,Yes,No,2805000,1275000,1020000,5100000
Tagarapuvalasa,2000,2,1,1,Basic,Modern,No,Yes,No,1782000,810000,648000,3240000
Padmanabham,1000,1,4,1,Premium,Normal,No,Yes,Yes,1317250,598750,479000,2395000
MVP Colony,2000,2,3,1,Standard,Normal,Yes,No,Yes,2805000,1275000,1020000,5100000
Madhurawada,1200,3,3,1,Standard,Luxury,No,Yes,No,1793000,815000,652000,3260000
Tagarapuvalasa,2000,3,1,1,Premium,Luxury,Yes,Yes,Yes,3261500,1482500,1186000,5930000
Kommadi,1200,1,3,1,Standard,Luxury,Yes,No,Yes,1826000,830000,664000,3320000
Gajuwaka,800,2,3,1,Standard,Modern,No,No,Yes,1133000,515000,412000,2060000
Parawada,2000,3,1,2,Premium,Modern,Yes,Yes,Yes,3223000,1465000,1172000,5860000
Atchutapuram,2000,1,3,1,Basic,Normal,No,No,No,1584000,720000,576000,2880000
Kommadi,2500,2,4,1,Standard,Luxury,Yes,No,No,3272500,1487500,1190000,5950000
Kommadi,1500,1,3,2,Premium,Normal,No,No,No,2613875,1188125,950500,4752500
Atchutapuram,1800,1,2,2,Basic,Modern,Yes,Yes,Yes,1975600,898000,718400,3592000
Anandapuram,1800,1,4,1,Basic,Normal,Yes,No,Yes,1749000,795000,636000,3180000
Parawada,1800,3,2,1,Standard,Normal,Yes,No,No,1892000,860000,688000,3440000
Padmanabham,1500,1,1,1,Premium,Luxury,No,No,Yes,2223375,1010625,808500,4042500
Rambilli,1500,3,1,2,Basic,Modern,No,No,No,1507000,685000,548000,2740000
Kommadi,2500,4,4,1,Premium,Modern,Yes,No,No,4118125,1871875,1497500,7487500
Bheemili,800,1,1,2,Premium,Luxury,No,No,Yes,1793000,815000,652000,3260000
Tagarapuvalasa,1500,4,2,1,Standard,Modern,No,Yes,Yes,1732500,787500,630000,3150000
Padmanabham,1800,2,1,1,Premium,Luxury,Yes,Yes,No,2657050,1207750,966200,4831000
Parawada,1500,1,4,2,Standard,Luxury,No,No,No,2035000,925000,740000,3700000
Rambilli,800,2,4,1,Basic,Normal,No,Yes,No,598400,272000,217600,1088000
Padmanabham,2000,4,1,1,Premium,Modern,Yes,Yes,No,2744500,1247500,998000,4990000
Gajuwaka,1200,2,1,1,Standard,Luxury,Yes,Yes,No,1837000,835000,668000,3340000
Atchutapuram,2000,3,3,1,Basic,Luxury,No,Yes,Yes,1914000,870000,696000,3480000
Parawada,1200,4,1,2,Standard,Normal,No,Yes,No,1463000,665000,532000,2660000
Tagarapuvalasa,1200,4,3,1,Standard,Luxury,No,No,Yes,1584000,720000,576000,2880000
Gajuwaka,2500,2,1,1,Basic,Modern,No,No,No,2530000,1150000,920000,4600000
Kommadi,1500,1,3,1,Premium,Modern,No,Yes,No,2448875,1113125,890500,4452500
Kothavalasa,1800,3,2,1,Premium,Normal,No,No,Yes,2460700,1118500,894800,4474000
Rambilli,1500,4,4,2,Standard,Modern,Yes,No,Yes,1952500,887500,710000,3550000
Tagarapuvalasa,1200,1,2,2,Standard,Modern,Yes,No,No,1749000,795000,636000,3180000
Sabbavaram,2500,2,1,1,Basic,Normal,No,Yes,Yes,2035000,925000,740000,3700000
Padmanabham,2000,4,1,1,Standard,Normal,No,No,Yes,1925000,875000,700000,3500000
Parawada,2000,4,3,1,Premium,Normal,No,Yes,Yes,2728000,1240000,992000,4960000
Rambilli,2000,3,3,1,Basic,Modern,No,No,Yes,1661000,755000,604000,3020000
Sabbavaram,1500,1,2,1,Basic,Luxury,No,Yes,No,1463000,665000,532000,2660000
Pendurthi,2500,1,4,1,Premium,Modern,Yes,No,Yes,4173125,1896875,1517500,7587500
Pendurthi,1500,1,2,1,Basic,Luxury,Yes,No,No,1771000,805000,644000,3220000
Kommadi,1200,3,3,1,Standard,Luxury,Yes,No,No,1771000,805000,644000,3220000
Gajuwaka,2000,3,4,1,Standard,Luxury,Yes,Yes,Yes,2860000,1300000,1040000,5200000
Gajuwaka,1200,4,2,2,Basic,Normal,Yes,No,Yes,1601600,728000,582400,2912000
Anandapuram,2000,2,3,1,Basic,Luxury,No,No,Yes,2090000,950000,760000,3800000
Kothavalasa,2500,4,1,1,Standard,Normal,No,No,No,2475000,1125000,900000,4500000
MVP Colony,1200,2,3,1,Standard,Luxury,No,Yes,Yes,1914000,870000,696000,3480000
Sabbavaram,2500,2,1,1,Premium,Normal,Yes,No,No,3451250,1568750,1255000,6275000
Rambilli,1800,3,4,1,Standard,Modern,No,Yes,No,1793000,815000,652000,3260000
Pendurthi,1500,2,3,1,Standard,Modern,No,Yes,No,1842500,837500,670000,3350000
Parawada,800,3,4,1,Standard,Normal,Yes,No,No,902000,410000,328000,1640000
Madhurawada,800,2,4,1,Standard,Modern,Yes,Yes,Yes,1287000,585000,468000,2340000
Kommadi,1200,4,2,1,Premium,Normal,Yes,Yes,Yes,2036100,925500,740400,3702000
Pendurthi,2500,3,3,2,Basic,Modern,No,No,No,2695000,1225000,980000,4900000
Rambilli,1200,1,2,1,Standard,Modern,No,Yes,No,1232000,560000,448000,2240000
